SAMPN,PERNO,SNAME_lookup,SZIP_lookup,SCITY_lookup,SNAME_similarity_resulst,ZipCode,CityName,similarity
1133036,4,westborough middle,94080,south san francisco,westborough middle,94080,south san francisco,0.9885057471264368
1133036,5,monteverde,94080,south san francisco,community day,94080,south san francisco,0.7837837837837838
1133315,3,freemont high,94087,sunnyvale,fremont high,94087,sunnyvale,0.9642857142857143
1134742,3,willow glen high,95125,san jose,willow glen high,95125,san jose,0.9836065573770492
7009032,2,los cerritos elementary,94080,south san francisco,los cerritos elementary,94080,south san francisco,0.9896907216494846
1134956,3,healdsburg high,95448,healdsburg,healdsburg high,95448,healdsburg,0.9841269841269841
1134956,4,healdsburg high,95448,healdsburg,healdsburg high,95448,healdsburg,0.9841269841269841
1134956,5,westside,95448,healdsburg,west side elementary,95448,healdsburg,0.7868852459016393
1135920,3,alameda high,94501,alameda,alameda high,94501,alameda,0.9803921568627451
1135920,4,wood middle,94501,alameda,will c. wood middle,94501,alameda,0.8421052631578947
1135925,3,browns valley elementary,95688,vacaville,browns valley elementary,95688,vacaville,0.9873417721518988
1136617,3,ruth sheldon elementary,94533,fairfield,tolenas elementary,94533,fairfield,0.8055555555555556
1136617,4,ruth sheldon elementary,94533,fairfield,tolenas elementary,94533,fairfield,0.8055555555555556
1136853,3,lake shore elementary,94132,san francisco,lakeshore alternative elementary,94132,san francisco,0.8478260869565217
1137073,3,lincoln elementary,95401,santa rosa,abraham lincoln elementary,95401,santa rosa,0.8831168831168831
1137073,4,lincoln elementary,95401,santa rosa,abraham lincoln elementary,95401,santa rosa,0.8831168831168831
1137871,3,st lawrence academy,95051,santa clara,live oak academy,95050,santa clara,0.7428571428571429
1138323,3,gretchen higgins elementary,95620,dixon,gretchen higgins elementary,95620,dixon,0.987012987012987
1138323,4,gretchen higgins elementary,95620,dixon,gretchen higgins elementary,95620,dixon,0.987012987012987
1138323,5,gretchen higgins elementary,95620,dixon,gretchen higgins elementary,95620,dixon,0.987012987012987
1138825,3,rodriguez high,94534,fairfield,angelo rodriguez high,94534,fairfield,0.8787878787878788
1139845,3,b gale wilson,94534,fairfield,b. gale wilson elementary,94534,fairfield,0.8115942028985508
1140059,2,fairfield sosoon unified high,94533,fairfield,fairfield high,94533,fairfield,0.7837837837837838
1140059,5,fairfield high,94533,fairfield,fairfield high,94533,fairfield,0.9830508474576272
1140321,3,miller creek middle,94903,san rafael,miller creek middle,94903,san rafael,0.9859154929577465
1141798,3,el centro elementary,94558,napa,snow elementary,94558,napa,0.8214285714285714
1142874,3,vanden high,08302,bridgeton,vanden high,94533,fairfield,0.5660377358490566
1142874,4,golden west middle,94533,fairfield,golden west middle,94533,fairfield,0.9850746268656716
1143181,3,del mar high,95110,san jose,del mar high,95128,san jose,0.9056603773584906
1143181,4,rolling hills middle,95032,los gatos,rolling hills middle,95030,los gatos,0.9577464788732394
1143233,3,st thomas apostle,94121,san francisco,st. thomas the apostle school,94121,san francisco,0.8470588235294118
1144174,3,mary farmer,94510,benicia,mary farmar elementary,94510,benicia,0.7666666666666667
1144765,3,los altos high,94022,los altos,los altos high,94022,los altos,0.9830508474576272
1144765,4,los altos high,94022,los altos,los altos high,94022,los altos,0.9830508474576272
1145239,3,dixon montessori charter,95620,dixon,dixon montessori charter,95620,dixon,0.9859154929577465
1146944,2,ida jew academy,95148,san jose,ida jew academies,95148,san jose,0.9180327868852459
1146944,3,ida jew academy,95148,san jose,ida jew academies,95148,san jose,0.9180327868852459
1147026,4,freemont high,95070,saratoga,prospect high,95070,saratoga,0.8
1147026,5,freemont high,95070,saratoga,prospect high,95070,saratoga,0.8
1147762,4,burlingame high,94010,burlingame,burlingame high,94010,burlingame,0.9841269841269841
1147833,3,terman middle,94306,palo alto,ellen fletcher middle,94306,palo alto,0.7692307692307693
1147833,4,barron park elementary,94306,palo alto,barron park elementary,94306,palo alto,0.9866666666666667
1148828,3,lynnbrook,95129,san jose,lynbrook high,95129,san jose,0.8627450980392157
1148828,4,lynn brook,95129,san jose,lynbrook high,95129,san jose,0.8461538461538461
2504324,3,joaquin miller middle,95129,san jose,joaquin miller middle,95129,san jose,0.9859154929577465
2504324,4,joaquin miller middle,95129,san jose,joaquin miller middle,95129,san jose,0.9859154929577465
1149981,3,david a weir,94533,fairfield,vanden high,94533,fairfield,0.7037037037037037
1150189,2,alta loma,94080,south san francisco,alta loma middle,94080,south san francisco,0.8947368421052632
1150189,3,buri buri,94080,south san francisco,buri buri elementary,94080,south san francisco,0.85
1150210,3,town for boys,94115,san francisco,town school for boys,94115,san francisco,0.8888888888888888
1150210,4,katherine delmar burke,94121,san francisco,katherine delmar burke school,94121,san francisco,0.9111111111111111
1150298,4,ann sobrato high,95037,morgan hill,ann sobrato high,95037,morgan hill,0.9850746268656716
1150476,3,centerville,94536,fremont,centerville junior high,94536,fremont,0.7868852459016393
1151065,3,napa high,94558,napa,napa high,94558,napa,0.9743589743589743
1151150,3,del mar high,95128,san jose,del mar high,95128,san jose,0.9811320754716981
1151272,3,westmont high,95130,san jose,gunderson high,95136,san jose,0.7857142857142857
1151272,4,discovery charter,95117,san jose,discovery charter,95117,san jose,0.9841269841269841
1151669,3,grace patterson elementary,94590,vallejo,grace patterson elementary,94590,vallejo,0.9873417721518988
1152114,2,statford washington park,94086,sunnyvale,stratford school,94086,sunnyvale,0.7605633802816901
1154339,2,parkside elementary,94403,san mateo,laurel elementary,94403,san mateo,0.8656716417910447
1155232,3,vacapena,95687,vacaville,vaca pena middle,95687,vacaville,0.8363636363636363
1155232,4,paden,95687,vacaville,faith academy,95688,vacaville,0.6938775510204082
1155258,3,san mateo high,94401,san mateo,san mateo high,94401,san mateo,0.9830508474576272
1155425,5,palmaciea,94545,hayward,palma ceia elementary,94545,hayward,0.7368421052631579
1155425,6,palmaciea,94545,hayward,palma ceia elementary,94545,hayward,0.7368421052631579
1156880,3,salmon creek middle,95465,occidental,salmon creek school - a charter,95465,occidental,0.7469879518072289
1157174,3,washington elementary- middle,95425,cloverdale,jefferson elementary,95425,cloverdale,0.7317073170731707
1158061,3,white oaks elementary,94070,san carlos,white oaks elementary,94070,san carlos,0.9866666666666667
1158066,3,napa valley language academy,94558,napa,napa valley language academy,94558,napa,0.987012987012987
1158066,4,napa valley language academy,94558,napa,napa valley language academy,94558,napa,0.987012987012987
1158137,3,clayton valley high,94521,concord,clayton valley charter high,94521,concord,0.8767123287671232
1158137,4,silverwood elementary,94521,concord,silverwood elementary,94521,concord,0.9855072463768116
1158137,5,silverwood elementary,94521,concord,silverwood elementary,94521,concord,0.9855072463768116
1158177,3,rigdway high,95401,santa rosa,piner high,95403,santa rosa,0.7636363636363637
1159028,3,jordan middle,94303,palo alto,ravenswood middle,94303,east palo alto,0.7575757575757576
1160166,3,city arts and technology,94112,san francisco,city arts and tech high,94112,san francisco,0.8837209302325582
1160166,4,charles drew college preparatory academy,94124,san francisco,drew (charles) college preparatory academy,94124,san francisco,0.8925619834710744
1160945,3,loma prieta elementary,95033,los gatos,loma prieta elementary,95033,los gatos,0.9866666666666667
1161045,4,cupertino high,95014,cupertino,cupertino high,95014,cupertino,0.9830508474576272
1161987,3,oliveira elementary,94536,fremont,oliveira elementary,94536,fremont,0.9846153846153847
1161987,4,oliveira elementary,94536,fremont,oliveira elementary,94536,fremont,0.9846153846153847
1162368,3,monta vista high,95014,cupertino,monta vista high,95014,cupertino,0.9841269841269841
1164752,6,twn hills charter,95472,sebastopol,twin hills charter middle,95472,sebastopol,0.88
1165564,3,sonoma mountain elementary,94954,petaluma,sonoma mountain elementary,94954,petaluma,0.9876543209876543
1165648,3,piedmont high,94611,piedmont,piedmont high,94611,piedmont,0.9818181818181818
1167674,3,convent of sacred heart,94123,san francisco,convent of the sacred heart elementary,94115,san francisco,0.8
1167674,4,the laurel,94118,san francisco,st. paul's,94131,san francisco,0.7796610169491526
1167681,3,presidio jr high,94121,san francisco,presidio middle,94121,san francisco,0.8285714285714286
1167681,4,alamo elementary,94121,san francisco,alamo elementary,94121,san francisco,0.9859154929577465
1167932,3,realm charter,94710,southwest berkeley,realm charter,94710,berkeley,0.8307692307692308
1168404,6,painter elementary,95127,san jose,santee elementary,95122,san jose,0.875
1168906,3,armijo high,94533,fairfield,armijo high,94533,fairfield,0.9811320754716981
1170324,3,mercy high,94132,san francisco,mercy high school,94132,san francisco,0.8787878787878788
1170324,4,common hope st heart,94123,san francisco,monroe elementary,94112,san francisco,0.7105263157894737
1170408,2,evergreen high,95148,san jose,evergreen valley high,95148,san jose,0.875
1170408,3,evergreen elementary,95135,san jose,evergreen elementary,95135,san jose,0.9855072463768116
1170408,4,evergreen elementary,95135,san jose,evergreen elementary,95135,san jose,0.9855072463768116
1170713,3,petaluma high,94952,petaluma,petaluma high,94952,petaluma,0.9818181818181818
1172515,6,de anza college,95014,cupertino,legend college preparatory,95014,cupertino,0.6944444444444444
1172515,7,christa mcauliffe elementary,95070,saratoga,christa mcauliffe elementary,95070,saratoga,0.9882352941176471
1172549,5,vacaille high,95688,vacaville,vacaville high,95688,vacaville,0.9655172413793104
1172549,6,willis justin junior high,95688,vacaville,will c. wood high,95687,vacaville,0.7123287671232876
1172554,3,benicia high,94510,benicia,benicia high,94510,benicia,0.9803921568627451
1172554,4,benicia middle,94510,benicia,benicia middle,94510,benicia,0.9818181818181818
1173654,3,emerson elementary,94705,berkeley,emerson elementary,94705,berkeley,0.9846153846153847
1173867,3,justin sienna high,94558,napa,justin-siena high school,94558,napa,0.8253968253968254
1173939,2,independence,95133,san jose,independence high,95133,san jose,0.896551724137931
1173939,3,morrill middle,95132,san jose,morrill middle,95132,san jose,0.9824561403508771
1173939,4,vinci park,95131,san jose,vinci park elementary,95131,san jose,0.8
1175159,3,city of refuge united church of christ,94103,san francisco,city arts and tech high,94112,san francisco,0.62
1176852,4,livermore high,94550,livermore,livermore high,94550,livermore,0.9830508474576272
1176852,5,our savior lutheran,94550,livermore,our savior lutheran school,94550,livermore,0.8947368421052632
1177174,3,new horizon,94536,fremont,new horizons,94536,fremont,0.96
1177496,3,dougherty elementary,94566,pleasanton,valley view elementary,94566,pleasanton,0.7733333333333333
1177600,3,john green,94568,dublin,john green elementary,94568,dublin,0.7857142857142857
1177600,4,john green,94568,dublin,john green elementary,94568,dublin,0.7857142857142857
1180096,3,castle mont high,94605,oakland,castlemont high,94605,oakland,0.9655172413793104
1180096,4,castle mont high,94605,oakland,castlemont high,94605,oakland,0.9655172413793104
1187427,2,del rey elementary,94563,orinda,del rey elementary,94563,orinda,0.9836065573770492
1187427,3,del rey elementary,94563,orinda,del rey elementary,94563,orinda,0.9836065573770492
1188614,3,valle verde,94598,walnut creek,valle verde elementary,94598,walnut creek,0.8285714285714286
1188614,4,valle verde,94598,walnut creek,valle verde elementary,94598,walnut creek,0.8285714285714286
1189146,2,downer elementary,94804,richmond,ford elementary,94804,richmond,0.8852459016393442
1253624,3,dixie elementary,94903,san rafael,dixie elementary,94903,san rafael,0.9846153846153847
1253624,4,dixie elementary,94903,san rafael,dixie elementary,94903,san rafael,0.9846153846153847
1265445,3,napa high,94558,napa,napa high,94558,napa,0.9743589743589743
1311406,3,ohlone elementary,94303,palo alto,ohlone elementary,94303,palo alto,0.9846153846153847
1313043,3,santa teresa elementary,95119,san jose,santa teresa elementary,95119,san jose,0.9866666666666667
1313043,4,santa teresa elementary,95119,san jose,santa teresa elementary,95119,san jose,0.9866666666666667
1313118,3,pioneer high,95118,san jose,pioneer high,95118,san jose,0.9811320754716981
1320953,3,cardinal newman high,95403,santa rosa,cardinal newman high school,95403,santa rosa,0.9
1337345,2,primary plus - amber drive elementary,95117,san jose,primary plus elementary school,95117,san jose,0.7708333333333334
1337354,3,albany middle,94530,albany,albany middle,94706,albany,0.9019607843137255
1337354,4,cornell elementary,94706,albany,cornell elementary,94706,albany,0.9836065573770492
1338123,2,rj fischer middle,95032,los gatos,raymond j. fisher middle,95032,los gatos,0.8611111111111112
1338286,3,wings,94063,redwood city,redwood high,94063,redwood city,0.7777777777777778
1340472,3,california high,94583,san ramon,california high,94583,san ramon,0.9836065573770492
1340472,4,california high,94583,san ramon,california high,94583,san ramon,0.9836065573770492
1341349,3,paradise valley,95037,morgan hill,almaden valley christian,95037,morgan hill,0.7567567567567568
1341769,3,erickson high,95112,san jose,calero high,95123,san jose,0.7924528301886793
1342126,3,los altos high,94022,los altos,los altos high,94022,los altos,0.9830508474576272
1342126,4,egan junior high,94022,los altos,ardis g. egan junior high,94022,los altos,0.8611111111111112
1342402,4,novato hs,94947,novato,novato high,94947,novato,0.8888888888888888
1342643,3,college park high,94523,pleasant hill,college park high,94523,pleasant hill,0.9863013698630136
1342643,4,pleasant hill middle,94523,pleasant hill,pleasant hill middle,94503,pleasant hill,0.9620253164556962
1345158,3,old venetia valley elementary,94903,san rafael,sun valley elementary,94901,san rafael,0.8192771084337349
1345255,3,ann sobrato high,95037,morgan hill,ann sobrato high,95037,morgan hill,0.9850746268656716
1345255,4,ann sobrato high,95037,morgan hill,ann sobrato high,95037,morgan hill,0.9850746268656716
1345476,3,benjamin cory elementary,95128,san jose,ben painter elementary,95133,san jose,0.8
1345559,3,venture high,94582,san ramon,venture (alternative),94582,san ramon,0.75
1345559,4,venture high,94582,san ramon,venture (alternative),94582,san ramon,0.75
1346799,4,mount diablo high,94520,concord,mt. diablo high,94520,concord,0.9152542372881356
1346799,5,mount diablo high,94520,concord,mt. diablo high,94520,concord,0.9152542372881356
1346799,6,el dorado middle,94521,concord,el dorado middle,94521,concord,0.9830508474576272
1346799,7,sun terrace elementary,94520,concord,sun terrace elementary,94520,concord,0.9859154929577465
1347176,3,christinsen middle,94551,livermore,andrew n. christensen middle,94551,livermore,0.8311688311688312
1347176,4,altamont creek,94551,livermore,altamont creek elementary,94551,livermore,0.8285714285714286
1347176,5,altamont creek,94551,livermore,altamont creek elementary,94551,livermore,0.8285714285714286
1347308,3,cherry chase,94087,sunnyvale,cherry chase elementary,94087,sunnyvale,0.8181818181818182
1347308,4,cherry chase,94087,sunnyvale,cherry chase elementary,94087,sunnyvale,0.8181818181818182
1347439,3,washington elementary,94720,berkeley,washington elementary,94704,berkeley,0.9577464788732394
1347737,4,dixon high,95620,dixon,dixon high,95620,dixon,0.9767441860465116
1347737,5,neighborhood christian,95620,dixon,neighborhood christian school,95620,dixon,0.8918918918918919
1347737,6,neighborhood christian,95620,dixon,neighborhood christian school,95620,dixon,0.8918918918918919
1348205,2,franklin elementary,94606,oakland,franklin elementary,94606,oakland,0.9846153846153847
1348205,3,franklin elementary,94606,oakland,franklin elementary,94606,oakland,0.9846153846153847
1348205,4,franklin elementary,94606,oakland,franklin elementary,94606,oakland,0.9846153846153847
1348888,3,wood side priory,94028,portola valley,woodside priory,94028,portola valley,0.9722222222222222
1348888,4,girls middle,94303,palo alto,ravenswood middle,94303,east palo alto,0.7384615384615385
1350362,3,centerville jr high,94536,fremont,centerville junior high,94536,fremont,0.927536231884058
1350362,4,glenmoor elementary,94536,fremont,glenmoor elementary,94536,fremont,0.9846153846153847
1350548,3,napa valley adult ed,94559,napa,napa valley language academy,94558,napa,0.6956521739130435
1350548,4,alta heights elementary,94559,napa,alta heights elementary,94559,napa,0.9850746268656716
1350577,3,mission dolors,94114,san francisco,mission dolores academy,94114,san francisco,0.868421052631579
1350577,4,mission dolors,94114,san francisco,mission dolores academy,94114,san francisco,0.868421052631579
1350639,3,novato high,94947,novato,novato high,94947,novato,0.9787234042553191
1350674,4,california high,94583,san ramon,california high,94583,san ramon,0.9836065573770492
1350674,5,california high,94583,san ramon,california high,94583,san ramon,0.9836065573770492
1350674,6,california high,94583,san ramon,california high,94583,san ramon,0.9836065573770492
1350674,7,neil armstrong elementary,94583,san ramon,neil a. armstrong elementary,94583,san ramon,0.9523809523809523
1350674,8,neil armstrong elementary,94583,san ramon,neil a. armstrong elementary,94583,san ramon,0.9523809523809523
1350715,3,valamar,94044,pacifica,vallemar elementary,94044,pacifica,0.7272727272727273
1350715,4,valamar,94044,pacifica,vallemar elementary,94044,pacifica,0.7272727272727273
1351613,3,bertha taylor elementary,95123,san jose,robert sanders elementary,95127,san jose,0.7948717948717948
1351613,4,bertha taylor elementary,95123,san jose,robert sanders elementary,95127,san jose,0.7948717948717948
1351654,3,brittan acres elementary,94070,san carlos,brittan acres elementary,94070,san carlos,0.9876543209876543
1351654,4,brittan acres elementary,94070,san carlos,brittan acres elementary,94070,san carlos,0.9876543209876543
1351846,3,albany high,94706,albany,albany high,94706,albany,0.9787234042553191
1351846,4,albany middle,94706,albany,albany middle,94706,albany,0.9803921568627451
1351847,4,san teresa san bernall,95139,san jose,santa teresa high,95123,san jose,0.7058823529411765
1352129,3,sinoloa middle,94947,novato,sinaloa middle,94947,novato,0.9433962264150944
1352129,4,lu sutton elementary,94947,novato,lu sutton elementary,94947,novato,0.9846153846153847
1353055,3,herbert slater middle,95401,santa rosa,herbert slater middle,95405,santa rosa,0.96
1353181,3,laurel elementary,94619,oakland,laurel elementary,94619,oakland,0.9836065573770492
1353242,3,technology high,94928,rohnert park,technology high,94928,rohnert park,0.9850746268656716
1358363,3,foresthill  elementary,95130,san jose,forest hill elementary,95130,san jose,0.958904109589041
1358618,3,rancho medanos middle,94565,pittsburg,rancho medanos junior high,94565,pittsburg,0.7948717948717948
1358618,4,willow cove elementary,94565,pittsburg,willow cove elementary,94565,pittsburg,0.9866666666666667
1358652,3,summit preparatory charter high,94063,redwood city,summit preparatory charter high,94063,redwood city,0.98989898989899
1358652,4,menlo-atherton high,94027,atherton,menlo-atherton high,94025,atherton,0.9552238805970149
1358970,3,santa rosa,95404,santa rosa,santa rosa middle,95404,santa rosa,0.8666666666666667
1358970,4,santa rosa,95404,santa rosa,santa rosa middle,95404,santa rosa,0.8666666666666667
1358970,5,santa rosa,95404,santa rosa,santa rosa middle,95404,santa rosa,0.8666666666666667
1360575,3,college market,94109,san francisco,nomad,94110,san francisco,0.7241379310344828
1360905,4,american high,94536,fremont,american high,94536,fremont,0.9811320754716981
1361771,3,cal hills,95035,milpitas,calaveras hills,95035,milpitas,0.8679245283018868
1361771,4,milpitas high,95035,milpitas,milpitas high,95035,milpitas,0.9818181818181818
1362557,3,bessie carmichael elementary,94103,san francisco,marshall elementary,94103,san francisco,0.813953488372093
1362557,4,bessie carmichael elementary,94103,san francisco,marshall elementary,94103,san francisco,0.813953488372093
1363867,4,herman intermediate,95123,san jose,herman (leonard) intermediate,95123,san jose,0.8571428571428571
1364040,4,cali calmecac language academy,95492,windsor,cali calmecac language academy,95492,windsor,0.9885057471264368
1364040,5,cali calmecac language academy,95492,windsor,cali calmecac language academy,95492,windsor,0.9885057471264368
1365818,3,arch bishop mitty high,95129,san jose,archbishop mitty high,95129,san jose,0.9722222222222222
1365925,3,elementary,94534,fairfield,oakbrook elementary,94534,fairfield,0.8333333333333334
1366787,3,monta vista high,95014,cupertino,monta vista high,95014,cupertino,0.9841269841269841
1368133,3,cupertino middle,94087,sunnyvale,cupertino middle,94087,sunnyvale,0.9841269841269841
1368133,4,stocklmeir elementary,94087,sunnyvale,louis e. stocklmeir elementary,94087,sunnyvale,0.8780487804878049
1368260,3,lawson middle,95014,cupertino,sam h. lawson middle,95014,cupertino,0.875
1369876,4,adelante elementary,94061,redwood city,hawes elementary,94061,redwood city,0.8611111111111112
1370191,5,pittsburgh high,94565,pittsburg,pittsburg senior high,94565,pittsburg,0.8656716417910447
1370424,3,freedom high,94561,oakley,freedom high,94561,oakley,0.9795918367346939
1370424,4,freedom high,94561,oakley,freedom high,94561,oakley,0.9795918367346939
1370955,3,kennedy middle,95014,cupertino,john f. kennedy middle,95014,cupertino,0.8656716417910447
1370955,4,kennedy middle,95014,cupertino,john f. kennedy middle,95014,cupertino,0.8656716417910447
1372959,3,foothill middle,94598,walnut creek,foothill middle,94598,walnut creek,0.9850746268656716
1373302,3,st justin catholic,95051,santa clara,st. justin,95051,santa clara,0.8253968253968254
1373302,4,st justin catholic,95051,santa clara,st. justin,95051,santa clara,0.8253968253968254
1373310,4,south valley middle,95020,gilroy,south valley middle,95020,gilroy,0.9841269841269841
1374265,6,adelante academy,95127,san jose,carden academy,95118,san jose,0.8135593220338984
1374265,7,adelante academy,95127,san jose,carden academy,95118,san jose,0.8135593220338984
1374265,8,adelante academy,95127,san jose,carden academy,95118,san jose,0.8135593220338984
1376082,7,bret harte middle,94541,hayward,bret harte middle,94540,hayward,0.9508196721311475
1376809,3,loyola elementary,94024,los altos,loyola elementary,94024,los altos,0.9846153846153847
1376809,4,loyola elementary,94024,los altos,loyola elementary,94024,los altos,0.9846153846153847
1377028,3,the berkley,94702,southwest berkeley,jefferson elementary,94702,berkeley,0.6
1377126,3,san marin high,94945,novato,san marin high,94945,novato,0.9811320754716981
1377126,4,san ramon elementary,94945,novato,san ramon elementary,94945,novato,0.9846153846153847
1378466,3,freedom high,94561,oakley,freedom high,94561,oakley,0.9795918367346939
1378466,4,dv,94561,oakley,freedom high,94561,oakley,0.6666666666666666
1379388,3,white oaks elementary,94070,san carlos,white oaks elementary,94070,san carlos,0.9866666666666667
1380031,2,winzsor high,95492,windsor,windsor high,95492,windsor,0.9411764705882353
1380332,3,healdsburg high,95448,healdsburg,healdsburg high,95448,healdsburg,0.9841269841269841
1381067,4,livermore valley charter,94550,livermore,livermore high,94550,livermore,0.7536231884057971
1381067,5,livermore valley charter,94550,livermore,livermore high,94550,livermore,0.7536231884057971
1381132,4,gretchen higgins elementary-2,95620,dixon,gretchen higgins elementary,95620,dixon,0.9620253164556962
1381471,3,american high,94536,fremont,american high,94536,fremont,0.9811320754716981
1381471,4,warwick elementary,94555,fremont,warwick elementary,94555,fremont,0.9841269841269841
1381489,3,gateway cluster elementary,95020,gilroy,eliot elementary,95020,gilroy,0.7761194029850746
1381489,4,gateway cluster elementary,95020,gilroy,eliot elementary,95020,gilroy,0.7761194029850746
1381572,3,nimitz elementary,94087,sunnyvale,chester w. nimitz elementary,94087,sunnyvale,0.8421052631578947
1381572,4,nimitz elementary,94087,sunnyvale,chester w. nimitz elementary,94087,sunnyvale,0.8421052631578947
